user_id,username,ip_address,device_info,mobile_number,account_age_days,avg_daily_messages
1,reginadavis,90.201.212.220,Android,+1-401-238-6041x86049,132,48
2,shannon76,168.43.208.182,Windows PC,6715014904,1033,15
3,elizabeth27,17.189.80.41,iPhone,235-787-7339x12363,3046,7
4,melinda29,95.66.255.99,Tablet,458-459-1008x53729,386,38
5,matthew02,87.86.186.255,Mac,+1-472-940-9175,160,2
6,millerheather,32.78.1.117,Android,001-444-917-8485x9288,925,15
7,moyerlee,44.116.219.83,Tablet,825-713-3582x7281,2495,2
8,ericramirez,74.48.110.2,Tablet,714.440.1619,844,46
9,tannerroy,63.63.235.57,Tablet,777-840-4084x74507,1748,15
10,dnelson,30.61.40.39,Mac,+1-717-973-4343,2443,18
11,justindavis,205.132.19.108,Android,708-208-2043,3138,11
12,latashamorris,189.51.84.196,Mac,346-398-7923x5970,1423,18
13,abuck,146.77.179.238,iPhone,(618)366-6582,911,49
14,erin36,83.196.25.10,Windows PC,001-798-941-0742x244,448,6
15,mbrown,210.114.215.16,Mac,(910)566-6786x602,426,23
16,pfischer,220.108.205.214,Windows PC,342.828.1198x367,2502,17
17,sandovalcalvin,176.112.49.102,Android,591-211-7559x1197,3018,30
18,michaelmayo,7.192.51.32,Tablet,+1-810-797-8855x43703,541,25
19,johnclark,154.150.12.209,Android,001-967-785-3959,2291,19
20,pachecojoseph,58.167.48.36,Tablet,451.573.3847x315,3559,24
21,gilmoresamantha,7.162.58.11,Tablet,001-638-632-6744,817,46
22,catherine35,1.220.92.19,Android,001-937-575-7680x65983,217,43
23,hessdale,205.117.244.137,iPhone,397-708-1523x3928,3196,19
24,gpotts,37.49.160.212,Android,566-953-2378x19424,3533,15
25,bowmansean,93.87.139.95,Android,(773)930-3283,1586,18
26,williamconner,97.92.37.46,Mac,908.701.6050x882,2633,24
27,gabrielagardner,77.50.30.145,iPhone,001-238-398-2356x8924,1546,23
28,cynthia87,35.135.92.240,iPhone,887.976.5368,2775,18
29,angelamoore,196.244.236.205,Android,(389)434-9163x77491,2525,41
30,vmoore,151.29.13.24,iPhone,777.934.7089x4242,2217,47
31,ehampton,60.219.54.183,iPhone,+1-969-558-0453x877,699,30
32,corey16,23.106.123.167,Mac,492-945-1286x7521,1135,41
33,gregory02,194.147.103.235,Tablet,429.500.7004x7632,929,44
34,jensenjames,28.125.141.159,Windows PC,468-671-3257x828,3482,50
35,osbornechristopher,23.147.40.232,Android,(810)932-4425,968,3
36,kevinwells,145.187.150.152,Windows PC,807.711.2275x3338,1673,18
37,millerkelly,159.244.224.49,Android,(294)461-4771,894,37
38,amandahill,70.58.234.140,Windows PC,821-482-4223x0181,900,42
39,emily17,3.129.28.100,Mac,001-722-559-7467x2167,1650,42
40,esparzafrancisco,27.40.242.155,Mac,(627)538-2339,615,17
41,colleen10,208.116.207.113,iPhone,341-465-1435x8946,1040,48
42,bharper,165.132.156.73,Tablet,(604)237-1007x175,2237,17
43,goodwintammy,105.218.255.201,Tablet,256.479.4147x5915,1784,38
44,rcarter,5.95.97.11,Mac,001-370-867-2956x1898,1512,15
45,tmitchell,202.64.183.137,iPhone,(471)377-3886,2117,32
46,eringrant,28.119.63.27,Android,+1-993-604-3720x0776,3125,4
47,tylerward,176.98.36.20,Android,855-724-3540,656,41
48,jmoran,79.129.2.41,iPhone,7018919325,3274,44
49,jaysmith,87.42.78.39,Mac,001-802-406-5398x46343,2472,5
50,flee,109.207.166.222,Mac,967-539-7161,1593,39
